"id","label","obsolete","ordering"
"Initiale Paris","Initiale Paris","0","0"
"Ventas de vehículos nuevos","Ventas de vehículos nuevos","0","1"
"Venta vehículos eléctricos","Venta vehículos eléctricos","0","2"
"Taller carrocería","Taller carrocería","0","3"
"Carrocería rápida","Carrocería rápida","0","4"
"Taller y venta de piezas de recambio","Taller y venta de piezas de recambio","0","5"
"Taller vehículos eléctricos","Taller vehículos eléctricos","0","6"
"Ventas de vehículos de ocasión","Ventas de vehículos de ocasión","0","7"
"Taller mecánica","Taller mecánica","0","8"
"Renault minuto","Renault minuto","0","9"
"Centro Pro","Centro Pro","0","10"

